"1","49","97","53"
"12","33","65","62"
"18","38","61","45"
"9","27","64","17"
"19","17","96","12"
"19","32","68","90"
"2","18","39","12"
"17","87","42","60"
"10","12","45","55"
"17","78","81","26"
"8","61","56","66"
"2","7","70","1"
"20","92","51","90"
"10","0","78","63"
"2","31","93","41"
"7","24","72","28"
"2","18","69","57"
"15","10","40","65"
"9","13","38","70"
"10","90","15","70"
"17","69","26","77"
"2","75","36","56"
"18","76","49","40"
"6","30","37","23"
"8","23","4","78"
"4","60","8","11"
"17","19","4","10"
"16","87","50","90"
"6","35","66","30"
"18","86","75","53"
