"21","1877","5"
"49","753","18"
"46","615","15"
"68","907","20"
"76","1596","2"
"54","1560","19"
"69","1975","12"
"42","504","24"
"68","679","15"
"80","1745","11"
"42","174","26"
"7","851","6"
"61","115","8"
"80","177","20"
"49","59","16"
"54","1651","20"
"36","367","4"
"80","1456","15"
"25","201","12"
"49","819","3"
"47","1910","25"
"16","1782","25"
"13","1288","4"
"36","1511","30"
"69","1083","18"
"64","1586","29"
"16","168","13"
"7","1000","4"
"7","712","5"
"46","1792","21"
"33","1445","29"
"59","1375","26"
"42","771","9"
"70","107","18"
"76","159","14"
"36","181","27"
"80","54","19"
"33","361","15"
"25","170","30"
"76","1039","2"
"64","906","12"
"59","1673","4"
"49","700","23"
"7","1081","1"
"69","1756","5"
"49","341","18"
"13","1203","5"
"76","88","1"
"42","1656","17"
"76","1714","20"
"36","472","16"
"76","1361","3"
"33","1101","10"
"68","1920","27"
"33","1940","3"
"68","9","6"
"59","1307","26"
"47","363","19"
"61","711","12"
"36","821","27"
"64","1139","22"
"64","1030","22"
"54","1934","10"
"25","1959","5"
"76","814","17"
"69","546","21"
"46","319","12"
"80","384","6"
"59","47","1"
"61","1624","8"
"13","1655","19"
"46","1781","6"
"70","571","10"
"16","1537","18"
"46","376","10"
"68","184","22"
"21","1383","4"
"54","227","14"
"46","1184","16"
"68","1998","20"
"25","481","10"
"54","625","1"
"61","1218","5"
"16","1544","14"
"47","315","28"
"68","61","7"
"68","1196","29"
"33","221","10"
"47","495","15"
"42","720","8"
"61","228","29"
"64","339","25"
"59","1460","14"
"49","79","24"
"36","1628","4"
"64","1775","10"
"70","1233","1"
"64","766","5"
"70","121","24"
"61","1241","11"
"25","371","18"
"64","1221","20"
"64","1791","16"
"7","158","23"
"49","694","17"
"25","873","7"
"59","1392","29"
"47","1553","5"
"42","926","18"
"59","1020","6"
"80","1613","11"
"68","1166","7"
"80","1683","29"
"61","161","14"
"54","329","16"
"80","370","12"
"46","1201","21"
"13","1531","28"
"36","1231","2"
"76","179","20"
"61","680","30"
"47","1582","22"
"64","463","23"
"59","911","11"
"21","1583","14"
"64","166","17"
"7","1637","19"
"49","492","6"
"69","1138","5"
"70","459","4"
"69","903","15"
"36","456","30"
"47","1476","26"
"33","1232","29"
"7","486","9"
"80","646","22"
"64","275","20"
"33","482","18"
"70","514","4"
"46","235","18"
"54","1562","10"
"61","1703","17"
"80","199","6"
"69","291","7"
"59","901","20"
"61","968","21"
"7","1653","23"
"21","1743","16"
"16","1694","29"
"36","140","26"
"33","1204","23"
"80","1470","7"
"49","1623","15"
"69","905","22"
"21","708","16"
"69","1346","3"
"70","1338","6"
"25","1417","26"
"69","532","30"
"25","219","11"
"46","212","16"
"7","863","20"
"64","454","6"
"33","1370","8"
"42","1068","30"
"42","834","26"
"7","627","30"
"68","1407","23"
"54","1947","18"
"25","44","5"
"64","1480","13"
"33","1327","18"
"13","1682","7"
"33","155","23"
"33","58","4"
"21","1096","1"
"25","1599","23"
"64","464","15"
"47","1335","3"
"54","40","10"
"68","925","12"
"64","518","1"
"36","236","25"
"54","1969","22"
"49","1353","3"
"68","1611","7"
"47","1158","25"
"70","953","17"
"33","936","10"
"42","899","30"
"7","869","19"
"16","1430","19"
"13","160","3"
"59","1903","6"
"70","26","20"
"25","1911","12"
"64","12","1"
"46","806","16"
"69","1106","2"
"36","1502","29"
"46","16","3"
"33","1672","25"
"69","493","30"
"68","1472","14"
"59","807","11"
"80","347","9"
"68","1461","5"
"61","242","8"
"42","476","8"
"76","1311","9"
"21","1198","13"
"21","731","19"
"13","597","9"
"42","1992","16"
"61","1528","16"
"33","1283","21"
"49","1176","6"
"61","660","25"
"42","391","7"
"59","1891","22"
"49","1145","7"
"36","1154","1"
"49","1634","10"
"64","547","22"
"69","134","11"
"46","1371","4"
"25","957","29"
"47","813","26"
"59","1505","4"
"54","860","5"
"42","594","20"
"70","292","9"
"49","419","12"
"54","1938","13"
"54","1876","15"
"61","1554","1"
"64","896","5"
"64","1163","9"
"16","289","29"
"16","1577","27"
"49","304","8"
"70","162","29"
"64","335","15"
"7","213","23"
"76","769","29"
"68","767","21"
"64","1550","5"
"13","261","25"
"64","1831","5"
"13","963","5"
"47","1238","13"
"70","1280","28"
"59","466","30"
"69","1861","8"
"59","569","5"
"42","1924","28"
