"0","29","1","1665115200"
"1","31","82","1665115200"
"2","53","87","1665979200"
"3","98","21","1665115200"
"4","33","36","1665115200"
"5","4","27","1665806400"
"6","91","64","1665547200"
"7","3","12","1665806400"
"8","98","86","1666324800"
"9","81","44","1665633600"
"10","57","15","1664596800"
"11","98","76","1665720000"
"12","47","76","1665979200"
"13","29","92","1665201600"
"14","63","20","1664856000"
"15","24","1","1665028800"
"16","53","27","1664856000"
"17","71","44","1666152000"
"18","12","3","1664942400"
"19","78","99","1665806400"
"20","40","5","1665720000"
"21","37","48","1666324800"
"22","99","90","1664596800"
"23","79","89","1665460800"
"24","8","59","1664769600"
"25","14","73","1664596800"
"26","5","73","1665460800"
"27","35","31","1665547200"
"28","8","30","1666238400"
"29","14","23","1665460800"
"30","84","60","1665374400"
"31","89","60","1666324800"
"32","74","14","1665460800"
"33","33","37","1664683200"
"34","86","24","1665028800"
"35","73","36","1666238400"
"36","74","74","1665201600"
"37","34","56","1665460800"
"38","53","15","1666324800"
"39","10","37","1665115200"
"40","65","6","1665028800"
"41","78","47","1664596800"
"42","93","48","1666152000"
"43","56","94","1665028800"
"44","33","46","1665979200"
"45","2","32","1664683200"
"46","46","88","1664683200"
"47","48","63","1666152000"
"48","8","2","1665979200"
"49","43","12","1665979200"
"50","67","97","1664596800"
"51","6","86","1665374400"
"52","35","45","1665892800"
"53","1","28","1665547200"
"54","0","43","1665374400"
"55","73","91","1666238400"
"56","8","7","1665460800"
"57","80","12","1665633600"
"58","72","23","1665806400"
"59","56","20","1665460800"
"60","66","24","1665979200"
"61","61","9","1665806400"
"62","33","44","1665460800"
"63","74","68","1665979200"
"64","41","61","1665720000"
"65","41","61","1666152000"
"66","70","63","1665892800"
"67","46","4","1666152000"
"68","67","82","1665288000"
"69","15","56","1665633600"
"70","93","87","1664856000"
"71","50","78","1665633600"
"72","29","13","1665633600"
"73","66","51","1665115200"
"74","59","72","1665892800"
"75","40","83","1664769600"
"76","27","94","1665547200"
"77","66","13","1665115200"
"78","37","26","1664942400"
"79","72","14","1664683200"
"80","42","5","1664683200"
"81","72","66","1665028800"
"82","87","15","1665288000"
"83","92","48","1665979200"
"84","72","30","1665374400"
"85","0","6","1664596800"
"86","0","44","1665374400"
"87","4","69","1665460800"
"88","31","21","1666065600"
"89","26","3","1664769600"
"90","5","15","1665201600"
"91","75","43","1665201600"
"92","49","11","1664942400"
"93","83","2","1666065600"
"94","52","31","1665288000"
"95","98","40","1665115200"
"96","79","26","1665028800"
"97","15","48","1666238400"
"98","78","73","1666238400"
"99","74","86","1666152000"
"100","38","70","1666324800"
"101","8","60","1665547200"
"102","31","41","1665720000"
"103","28","47","1664596800"
"104","11","30","1664596800"
"105","41","22","1665806400"
"106","18","69","1665633600"
"107","99","22","1665633600"
"108","47","20","1666152000"
"109","31","67","1665288000"
"110","88","19","1665979200"
"111","83","78","1664769600"
"112","73","46","1665720000"
"113","17","42","1665633600"
"114","26","32","1666065600"
"115","49","43","1664942400"
"116","53","11","1666065600"
"117","1","45","1664942400"
"118","53","77","1664942400"
"119","95","7","1665028800"
"120","4","80","1665028800"
"121","22","56","1664683200"
"122","67","74","1665288000"
"123","5","47","1665720000"
"124","16","74","1666152000"
"125","34","64","1664596800"
"126","96","61","1665201600"
"127","83","30","1665288000"
"128","3","95","1665633600"
