"11","39","86","56"
"10","12","36","94"
"3","29","23","39"
"9","84","35","7"
"6","48","74","95"
"10","68","24","69"
"16","46","15","73"
"18","92","44","27"
"19","86","67","85"
"12","27","36","18"
"8","46","24","23"
"20","3","31","42"
"4","76","18","13"
"17","36","3","34"
"11","87","28","43"
"3","20","68","44"
"11","74","45","7"
"20","30","81","69"
"1","86","53","76"
"18","12","27","79"
"9","57","59","82"
"0","63","11","86"
"2","91","81","24"
"12","6","56","49"
"10","41","68","16"
"1","17","93","4"
"7","56","17","76"
"14","7","76","37"
"7","57","92","19"
"16","38","79","14"
